dominant_biome,air,dirt,water,short_grass,grass_block,sand,tall_seagrass,oak_leaves,birch_leaves,oak_log,tall_grass,birch_log,kelp,kelp_plant,dark_oak_log,dark_oak_leaves,spruce_leaves,spruce_log,bush,sandstone,brown_mushroom,dandelion,podzol,red_mushroom_block,mushroom_stem,poppy,coarse_dirt,oxeye_daisy,emerald_ore,lily_pad,snow,acacia_leaves
2,0.4478130889712094,0.7177664974619289,0.0026304973284011,0.5267175572519084,0.5179704016913319,0.0,0.0,0.1283422459893048,0.1029411764705882,0.144927536231884,0.4166666666666667,0.1,0.0,0.0,0.2536231884057971,0.34597875569044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.534964580490024,0.6314720812182741,0.0018084669132757,0.9770992366412212,0.5158562367864693,0.0,0.0,0.1016042780748663,0.0,0.0579710144927536,1.0,0.0,0.0,0.0,0.7065217391304348,0.7921092564491654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4435237538181582,0.4862944162436548,0.0,0.0687022900763358,0.5348837209302325,0.0,0.0,0.0,0.3697478991596639,0.0,0.0,0.2428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5128680054591538,0.1050761421319797,0.3090834360871352,0.0,0.0,0.0,0.175438596491228,0.0,0.0,0.0,0.0,0.0,0.5473684210526316,0.5402504472271914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4927536231884058,0.4629441624365482,0.2143033292231812,0.0,0.0084566596194503,0.2841726618705036,0.4210526315789473,0.0040106951871657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5028270618054201,0.132994923857868,0.318865598027127,0.0,0.0,0.0021582733812949,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.1578947368421052,0.1627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4401442776369663,0.5949238578680203,0.0059186189889025,0.0916030534351145,0.5116279069767442,0.0,0.0,0.3435828877005347,0.0,0.2318840579710145,0.0416666666666666,0.0,0.0,0.0,0.5036231884057971,0.4749620637329286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0545265483850003,0.6862944162436548,8.220304151253596e-05,0.0381679389312977,0.1923890063424947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.2958199356913183,0.0,0.0,0.0,0.0,0.6564885496183206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6330993695977124,0.1091370558375634,0.3592272914097821,0.1374045801526717,0.0,0.0021582733812949,0.175438596491228,0.0,0.0,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4831351140573211,0.500507614213198,0.1201808466913275,0.015267175572519,0.2832980972515856,0.0122302158273381,0.175438596491228,0.0401069518716577,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.3550724637681159,0.3262518968133536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4898290764931435,0.4385786802030457,0.0319769831483764,0.0076335877862595,0.0528541226215644,0.1100719424460431,0.0,0.0775401069518716,0.0,0.0144927536231884,0.0,0.0,0.0,0.0,0.0,0.0045523520485584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4310131929550919,0.3604060913705584,0.0141389231401561,0.0381679389312977,0.5306553911205074,0.0,0.0,0.4612299465240642,0.0,0.4202898550724637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.523591343341782,0.1340101522842639,0.3719687628442252,0.0,0.0,0.0007194244604316,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
